n,tipo,algoritmo,tempo_segundos
100,aleatoria,Quicksort,0.0002
100,aleatoria,Selection Sort,0.0002
100,aleatoria,Merge Sort,0.0002
100,ordenada,Quicksort,0.0001
100,ordenada,Selection Sort,0.0002
100,ordenada,Merge Sort,0.0002
100,inversa,Quicksort,0.0001
100,inversa,Selection Sort,0.0002
100,inversa,Merge Sort,0.0001
1000,aleatoria,Quicksort,0.0017
1000,aleatoria,Selection Sort,0.0257
1000,aleatoria,Merge Sort,0.0024
1000,ordenada,Quicksort,0.0011
1000,ordenada,Selection Sort,0.0253
1000,ordenada,Merge Sort,0.0019
1000,inversa,Quicksort,0.0011
1000,inversa,Selection Sort,0.0265
1000,inversa,Merge Sort,0.0019
10000,aleatoria,Quicksort,0.0212
10000,aleatoria,Selection Sort,1.3351
10000,aleatoria,Merge Sort,0.0155
10000,ordenada,Quicksort,0.0073
10000,ordenada,Selection Sort,1.3328
10000,ordenada,Merge Sort,0.0099
10000,inversa,Quicksort,0.0083
10000,inversa,Selection Sort,1.4737
10000,inversa,Merge Sort,0.0102
100000,aleatoria,Quicksort,0.1508
100000,aleatoria,Selection Sort,interrompido
100000,aleatoria,Merge Sort,0.1943
100000,ordenada,Quicksort,0.0988
100000,ordenada,Selection Sort,interrompido
100000,ordenada,Merge Sort,0.1264
100000,inversa,Quicksort,0.1043
100000,inversa,Selection Sort,interrompido
100000,inversa,Merge Sort,0.1249
